pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
114,,mcx_fo,COMDTY,GOLD,GOLDCOM,,,,0,,,GOLD995,,,100,1,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,KGS,GRMS,0,0,0,,,GOLD995,,COM,,,,,,KGS,0,0,,0,0,0,,-19800,0,1,0,1,0,-2e+11,-2e+11,1,1,100,10,0,1,0,-1,0,0,99999999
115,,mcx_fo,COMDTY,SILVER,SILVERCOM,,,,0,,,SILVER,,,100,30,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,KGS,KGS,0,0,0,,,Silver999,,COM,,,,,,KGS,0,0,,0,0,0,,-19800,0,1,0,30,0,-2e+11,-2e+11,1,1,1,1,0,1,0,-1,0,0,99999999
116,,mcx_fo,COMDTY,CASTORSEED,CASTORSEEDCOM,,,,0,,,Ex-WarehouseDeesa,,,10000,10,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,MT,KGS,0,0,0,,,,,COM,,,,,,MT,0,0,,0,0,0,,-19800,0,1,0,10,0,-2e+11,-2e+11,1,1,10,100,0,1,0,-1,0,0,99999999
117,,mcx_fo,COMDTY,GOLDM,GOLDMCOM,,,,0,,,GOLDMINI995,,,100,100,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,GRMS,GRMS,0,0,0,,,GOLDMINI995,,COM,,,,,,GRMS,0,0,,0,0,0,,-19800,0,1,0,100,0,-2e+11,-2e+11,1,10,1,10,0,1,0,-1,0,0,99999999
118,,mcx_fo,COMDTY,RUBBER,RUBBERCOM,,,,0,,,RUBBER,,,100,1,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,MT,KGS,0,0,0,,,RUBBER,,COM,,,,,,MT,0,0,,0,0,0,,-19800,0,1,0,1,0,-2e+11,-2e+11,1,1,10,100,0,1,0,-1,0,0,99999999
119,,mcx_fo,COMDTY,PEPPER,PEPPERCOM,,,,0,,,BLACKPEPPER,,,50000,1,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,MT,KGS,0,0,0,,,,,COM,,,,,,MT,0,0,,0,0,0,,-19800,0,1,0,1,0,-2e+11,-2e+11,1,1,10,100,0,1,0,-1,0,0,99999999
120,,mcx_fo,COMDTY,KAPAS,KAPASCOM,,,,0,,,KAPAS,,,50,4,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,MT,KGS,0,0,0,,,RawKapas,,COM,,,,,,MT,0,0,,0,0,0,,-19800,0,1,0,4,0,-2e+11,-2e+11,1,1,50,20,0,1,0,-1,0,0,99999999
121,,mcx_fo,COMDTY,CASTORSD5T,CASTORSD5TCOM,,,,0,,,CASTORSEED5TON,,,25,5000,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,KGS,KGS,0,0,0,,,Oilcontentbasis,,COM,,,,,,KGS,0,0,,0,0,0,,-19800,0,1,0,5000,0,-2e+11,-2e+11,1,100,1,100,0,1,0,-1,0,0,99999999
122,,mcx_fo,COMDTY,SILVERM,SILVERMCOM,,,,0,,,SILVERMINI999,,,100,5,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,KGS,KGS,0,0,0,,,SilverMini999Fineness,,COM,,,,,,KGS,0,0,,0,0,0,,-19800,0,1,0,5,0,-2e+11,-2e+11,1,1,1,1,0,1,0,-1,0,0,99999999
123,,mcx_fo,COMDTY,RBDPMOLEIN,RBDPMOLEINCOM,,,,0,,,RBDPalmolein,,,1000,10,0,-1,2,0,MCX,COMDTY,0,0,0,,,,,,,,,,,MT,KGS,0,0,0,,,,,COM,,,,,,MT,0,0,,0,0,0,,-19800,0,1,0,10,0,-2e+11,-2e+11,1,1,100,10,0,1,0,-1,0,0,99999999
