pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
6531,IV,nse_cm,,NHIT,NHIT-IV,,NHIT-IV,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,200000,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1401408000,102.00-153.00,0,0,1403983192,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,783383,200000,0,15300,10200,1,1,1,0,0,1,0,1.3122e+09,0,0,783383
6542,BL,nse_cm,,NHIT,NHIT-BL,,NHIT-BL,INE0H7R23014,,,,NATIONAL HIGHW INFRA TRUS,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,0,126.22-128.77,0,0,1403973949,,,,,,,,,,CASH,,,,,10000,,,,,,,,T+1,315513000,0,1,0,1,0,12877,12622,1,1,1,0,0,1,0,1.3122e+09,0,0,99999999
6543,EQ,nse_cm,,GRPLTD,GRPLTD-EQ,,GRPLTD,INE137I01015,,,,GRP LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1375056000,1375574400,0,9594.40-14391.50,0,0,1403984634,,,,,,,,,,CASH,,,,,1000,,,,0,20,,,T+1,315513000,0,1,8337,1,0,1.43915e+06,959440,1,1,1,0,0,1,0,1.33333e+06,0,0,8337
6545,EQ,nse_cm,,NYKAA,NYKAA-EQ,,NYKAA,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,141.32-211.98,0,0,1403984634,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,565494,1,0,21198,14132,1,1,1,0,0,1,0,2.85603e+09,0,0,565494
1,SM,nse_cm,,GOLDSTAR,GOLDSTAR-SM,,GOLDSTAR-SM,INE405Y01021,,,,GOLDSTAR POWER LIMITED,,,5,11250,-1,-1,2,-1,NSE,,,1192060800,,1192060800,0,0,0,0,1374192000,11.60-17.40,0,0,1403984634,,,,,,,,,,CASH,,,,,100,,,,0,20,,,T+1,315513000,0,1,6896438,11250,0,1740,1160,1,1,1,0,0,1,0,2.40705e+08,0,0,6896438
6548,BL,nse_cm,,GRPLTD,GRPLTD-BL,,GRPLTD-BL,INE137I01015,,,,GRP LIMITED,,,5,1,-1,-1,2,-1,NSE,,,1108166400,,1108166400,0,0,1375056000,1375574400,0,11873.05-12112.85,0,0,1403983023,,,,,,,,,,CASH,,,,,1000,,,,,,,,T+1,315513000,0,1,0,1,0,1.21128e+06,1.1873e+06,1,1,1,0,0,1,0,1.33333e+06,0,0,99999999
7,EQ,nse_cm,,AARTIIND,AARTIIND-EQ,,AARTIIND,INE769A01020,,,,AARTI INDUSTRIES LTD,,,5,1,-1,-1,2,-1,NSE,,,473040000,,476668800,0,0,0,0,1374969600,618.50-755.90,0,0,1403984634,,,,,,,,,,CASH,,,,,500,,,,0,20,,,T+1,315513000,0,1,145364,1,0,75590,61850,1,1,1,0,0,1,0,3.62504e+08,0,0,145364
6553,BL,nse_cm,,NYKAA,NYKAA-BL,,NYKAA-BL,INE388Y01029,,,,FSN E COMMERCE VENTURES,,,1,1,-1,-1,2,-1,NSE,,,1320969600,,1320969600,0,0,0,0,1352592000,174.88-178.41,0,0,1403983023,,,,,,,,,,CASH,,,,,100,,,,,,,,T+1,315513000,0,1,0,1,0,17841,17488,1,1,1,0,0,1,0,2.85603e+09,0,0,99999999
6555,SG,nse_cm,,525AS24,525AS24-SG,,525AS24-SG,IN1220210117,,,,SDL AS 5.25% 2024,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1403973949,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
6556,SG,nse_cm,,694AS31,694AS31-SG,,694AS31-SG,IN1220210125,,,,SDL AS 6.94% 2031,,,1,100,-1,-1,2,-1,NSE,,,1321142400,,1321142400,0,0,0,0,0,95.00-105.00,0,0,1403973949,,,,,,,,,,CASH,,,,,10000,,,,0,20,,,T+1,315513000,0,1,1000000,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000
